Feature-Set;NSHAP-Value
season,mnth,holiday,weekday,windspeed;-0.0229
season,mnth,holiday,workingday,weathersit;0.0000
season,mnth,holiday,workingday,temp;-0.0000
season,mnth,holiday,workingday,atemp;-0.0000
season,mnth,holiday,workingday,hum;-0.0000
season,mnth,holiday,workingday,windspeed;-0.0000
season,mnth,holiday,weathersit,temp;-0.0635
season,mnth,holiday,weathersit,atemp;0.0082
season,mnth,holiday,weathersit,hum;-0.0419
season,mnth,holiday,weathersit,windspeed;-0.0226
season,mnth,holiday,temp,atemp;-0.1477
season,mnth,holiday,temp,hum;-0.0376
season,mnth,holiday,temp,windspeed;-0.2000
season,mnth,holiday,atemp,hum;-0.0939
season,mnth,holiday,atemp,windspeed;0.2922
season,mnth,holiday,hum,windspeed;0.1755
season,mnth,weekday,workingday,weathersit;0.1226
season,mnth,weekday,workingday,temp;-0.2216
season,mnth,weekday,workingday,atemp;0.3963
season,mnth,weekday,workingday,hum;0.5499
season,mnth,weekday,workingday,windspeed;0.6566
season,mnth,weekday,weathersit,temp;-0.5150
season,mnth,weekday,weathersit,atemp;0.6380
season,mnth,weekday,weathersit,hum;-0.0234
season,mnth,weekday,weathersit,windspeed;0.5372
season,mnth,weekday,temp,atemp;-4.0487
season,mnth,weekday,temp,hum;2.5119
season,mnth,weekday,temp,windspeed;-2.7308
season,mnth,weekday,atemp,hum;2.2872
season,mnth,weekday,atemp,windspeed;-0.3731
season,mnth,weekday,hum,windspeed;0.2970
season,mnth,workingday,weathersit,temp;-0.2561
season,mnth,workingday,weathersit,atemp;0.5571
season,mnth,workingday,weathersit,hum;-0.2261
season,mnth,workingday,weathersit,windspeed;0.3078
season,mnth,workingday,temp,atemp;-0.3762
season,mnth,workingday,temp,hum;2.0381
season,mnth,workingday,temp,windspeed;-1.5232
season,mnth,workingday,atemp,hum;2.9424
season,mnth,workingday,atemp,windspeed;-0.2860
season,mnth,workingday,hum,windspeed;0.7371
season,mnth,weathersit,temp,atemp;-2.4514
season,mnth,weathersit,temp,hum;4.8092
season,mnth,weathersit,temp,windspeed;-1.1946
season,mnth,weathersit,atemp,hum;3.7854
season,mnth,weathersit,atemp,windspeed;0.4102
season,mnth,weathersit,hum,windspeed;0.1230
season,mnth,temp,atemp,hum;1.8651
season,mnth,temp,atemp,windspeed;3.7307
season,mnth,temp,hum,windspeed;-4.6005
season,mnth,atemp,hum,windspeed;3.8132
season,holiday,weekday,workingday,weathersit;0.0000
season,holiday,weekday,workingday,temp;0.0000
season,holiday,weekday,workingday,atemp;0.0000
season,holiday,weekday,workingday,hum;-0.0000
season,holiday,weekday,workingday,windspeed;-0.0000
season,holiday,weekday,weathersit,temp;0.0223
season,holiday,weekday,weathersit,atemp;0.0144
season,holiday,weekday,weathersit,hum;-0.0724
season,holiday,weekday,weathersit,windspeed;0.0250
season,holiday,weekday,temp,atemp;-0.3970
season,holiday,weekday,temp,hum;0.4056
season,holiday,weekday,temp,windspeed;0.1828
season,holiday,weekday,atemp,hum;0.0031
season,holiday,weekday,atemp,windspeed;0.1453
season,holiday,weekday,hum,windspeed;-0.0301
season,holiday,workingday,weathersit,temp;0.0000
season,holiday,workingday,weathersit,atemp;0.0000
season,holiday,workingday,weathersit,hum;0.0000
season,holiday,workingday,weathersit,windspeed;0.0000
season,holiday,workingday,temp,atemp;0.0000
season,holiday,workingday,temp,hum;0.0000
season,holiday,workingday,temp,windspeed;-0.0000
season,holiday,workingday,atemp,hum;-0.0000
season,holiday,workingday,atemp,windspeed;-0.0000
season,holiday,workingday,hum,windspeed;0.0000
season,holiday,weathersit,temp,atemp;0.0849
season,holiday,weathersit,temp,hum;-0.0471
season,holiday,weathersit,temp,windspeed;0.0283
season,holiday,weathersit,atemp,hum;0.0095
season,holiday,weathersit,atemp,windspeed;0.0316
season,holiday,weathersit,hum,windspeed;0.0135
season,holiday,temp,atemp,hum;1.3922
season,holiday,temp,atemp,windspeed;0.2063
season,holiday,temp,hum,windspeed;0.2995
season,holiday,atemp,hum,windspeed;0.3864
season,weekday,workingday,weathersit,temp;-0.2296
season,weekday,workingday,weathersit,atemp;-0.3086
season,weekday,workingday,weathersit,hum;0.3946
