Feature-Set;NSHAP-Value
sex,hepatitis,asthma;0.0001
sex,hepatitis,copd;-0.0000
sex,hepatitis,dementia;-0.0000
sex,hepatitis,cancer;-0.0001
sex,endstage.renal.disease,chronic.kidney.disease;-0.0002
sex,endstage.renal.disease,asthma;-0.0003
sex,endstage.renal.disease,copd;0.0001
sex,endstage.renal.disease,dementia;-0.0000
sex,endstage.renal.disease,cancer;-0.0000
sex,chronic.kidney.disease,asthma;0.0002
sex,chronic.kidney.disease,copd;0.0001
sex,chronic.kidney.disease,dementia;-0.0000
sex,chronic.kidney.disease,cancer;0.0004
sex,asthma,copd;-0.0003
sex,asthma,dementia;0.0004
sex,asthma,cancer;0.0001
sex,copd,dementia;0.0007
sex,copd,cancer;0.0008
sex,dementia,cancer;0.0008
hypertension,hyperlipidemia,diabetes;0.0039
hypertension,hyperlipidemia,coronary.artery.disease;-0.0003
hypertension,hyperlipidemia,chf;-0.0005
hypertension,hyperlipidemia,cerebrovascular.disease;-0.0005
hypertension,hyperlipidemia,hepatitis;0.0000
hypertension,hyperlipidemia,endstage.renal.disease;-0.0000
hypertension,hyperlipidemia,chronic.kidney.disease;-0.0003
hypertension,hyperlipidemia,asthma;0.0003
hypertension,hyperlipidemia,copd;0.0003
hypertension,hyperlipidemia,dementia;-0.0000
hypertension,hyperlipidemia,cancer;-0.0000
hypertension,diabetes,coronary.artery.disease;0.0081
hypertension,diabetes,chf;0.0046
hypertension,diabetes,cerebrovascular.disease;0.0017
hypertension,diabetes,hepatitis;0.0001
hypertension,diabetes,endstage.renal.disease;0.0003
hypertension,diabetes,chronic.kidney.disease;0.0005
hypertension,diabetes,asthma;0.0021
hypertension,diabetes,copd;0.0005
hypertension,diabetes,dementia;0.0019
hypertension,diabetes,cancer;0.0030
hypertension,coronary.artery.disease,chf;-0.0028
hypertension,coronary.artery.disease,cerebrovascular.disease;-0.0007
hypertension,coronary.artery.disease,hepatitis;-0.0000
hypertension,coronary.artery.disease,endstage.renal.disease;0.0001
hypertension,coronary.artery.disease,chronic.kidney.disease;0.0013
hypertension,coronary.artery.disease,asthma;0.0002
hypertension,coronary.artery.disease,copd;-0.0003
hypertension,coronary.artery.disease,dementia;-0.0002
hypertension,coronary.artery.disease,cancer;-0.0014
hypertension,chf,cerebrovascular.disease;0.0001
hypertension,chf,hepatitis;0.0001
hypertension,chf,endstage.renal.disease;0.0003
hypertension,chf,chronic.kidney.disease;0.0001
hypertension,chf,asthma;-0.0000
hypertension,chf,copd;-0.0002
hypertension,chf,dementia;-0.0009
hypertension,chf,cancer;0.0005
hypertension,cerebrovascular.disease,hepatitis;-0.0000
hypertension,cerebrovascular.disease,endstage.renal.disease;0.0001
hypertension,cerebrovascular.disease,chronic.kidney.disease;0.0000
hypertension,cerebrovascular.disease,asthma;-0.0000
hypertension,cerebrovascular.disease,copd;-0.0000
hypertension,cerebrovascular.disease,dementia;-0.0002
hypertension,cerebrovascular.disease,cancer;0.0000
hypertension,hepatitis,endstage.renal.disease;0.0003
hypertension,hepatitis,chronic.kidney.disease;-0.0000
hypertension,hepatitis,asthma;-0.0000
hypertension,hepatitis,copd;0.0000
hypertension,hepatitis,dementia;0.0000
hypertension,hepatitis,cancer;-0.0000
hypertension,endstage.renal.disease,chronic.kidney.disease;0.0000
hypertension,endstage.renal.disease,asthma;0.0000
hypertension,endstage.renal.disease,copd;0.0000
hypertension,endstage.renal.disease,dementia;0.0000
hypertension,endstage.renal.disease,cancer;-0.0001
